"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6vN77lE9LK6HP2DewaN6HZ","Yes Indeed","spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:3TVXtAsR1Inumwj472S9r4","Lil Baby, Drake","spotify:album:7yf9ZJyHRbp8sHtpDKfPpt","Harder Than Ever","spotify:artist:5f7VJjfbwm532GiveGC0ZK","Lil Baby","2018-05-18","https://i.scdn.co/image/ab67616d0000b2736cab41f8c84d6164976400d4","1","5","142273","https://p.scdn.co/mp3-preview/1195917ef3d688ba81e8c1bab3cd37e137ec7ecf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","spotify:user:","2020-07-17T04:01:00Z","0.963","0.346","5","-9.309","0","0.53","0.0355","0","0.108","0.562","119.957","4"
"spotify:track:3QLjDkgLh9AOEHlhQtDuhs","Best I Ever Had","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1LShhEEKRT5MNPcO7jtYHh","So Far Gone","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2009","https://i.scdn.co/image/ab67616d0000b27354ef13c30a024a7f1ba79efd","1","10","257690","https://p.scdn.co/mp3-preview/9dceecbd52a1b037b23133998a1b7d6be7df3281?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:","2020-07-17T04:01:00Z","0.395","0.922","1","-2.176","1","0.375","0.19","0","0.134","0.558","162.361","4"
"spotify:track:14SaZBTjxlorHJQxXh01Hu","Girls Need Love (with Drake) - Remix","spotify:artist:57LYzLEk2LcFghVwuWbcuS, spotify:artist:3TVXtAsR1Inumwj472S9r4","Summer Walker, Drake","spotify:album:4hTM8jZ8DCCqglmZUDMSPz","Last Day Of Summer","spotify:artist:57LYzLEk2LcFghVwuWbcuS","Summer Walker","2018-10-19","https://i.scdn.co/image/ab67616d0000b273fb023e6073e38a52082cc7b6","1","13","222374","https://p.scdn.co/mp3-preview/5c321872edd0fe3ad66777188f70cfd9c7d50de6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:","2020-07-17T04:01:00Z","0.656","0.432","6","-9.481","0","0.217","0.443","0","0.132","0.0897","97.022","4"
"spotify:track:49ySwzAyvxcNXOkOP6ZB1L","The Motto","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:55Aa2cqylxrFIXC767Z865","Drake, Lil Wayne","spotify:album:4yyKZOy1Nq9DPfzf5O4Hpg","The Motto (Explicit Version)","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2012-01-01","https://i.scdn.co/image/ab67616d0000b273f8f137c9f610e08e1bd0919b","1","1","181400","","true","0","spotify:user:","2020-07-17T04:01:00Z","0.774","0.431","1","-8.407","1","0.346","0.000146","0.0000199","0.112","0.353","201.843","4"
"spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL","Look Alive (feat. Drake)","spotify:artist:4TEJudQY2pXxVHPE3gD2EU, spotify:artist:3TVXtAsR1Inumwj472S9r4","BlocBoy JB, Drake","spotify:album:7GGoJfKFOwDNuiLjjfzyCS","Look Alive (feat. Drake)","spotify:artist:4TEJudQY2pXxVHPE3gD2EU, spotify:artist:3TVXtAsR1Inumwj472S9r4","BlocBoy JB, Drake","2018-02-09","https://i.scdn.co/image/ab67616d0000b27355cad990bc1ce5808367fa0e","1","1","181263","https://p.scdn.co/mp3-preview/4c9c1f93e4b6032679d772a0a8c3c28cef5a42ae?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","spotify:user:","2020-07-17T04:01:00Z","0.922","0.581","10","-7.495","1","0.27","0.00104","0.0000586","0.105","0.595","140.022","4"
"spotify:track:4XoP1AkbOurU9CeZ2rMEz2","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar","spotify:album:1E1eyI5uGllppJZCxNoF9w","LONG.LIVE.A$AP (Deluxe Version)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2013-01-11","https://i.scdn.co/image/ab67616d0000b2733265ed162fa2dd5ec6434ee4","1","7","233786","","true","0","spotify:user:","2020-07-17T04:01:00Z","0.869","0.687","1","-6.816","1","0.263","0.0208","0.000001","0.114","0.668","96.006","4"
"spotify:track:7rC5Pl8rQSX4myONQHYPBK","Mob Ties","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1ATL5GLyefJaxhQzSPVrLX","Scorpion","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2018-06-29","https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5","1","8","205146","https://p.scdn.co/mp3-preview/cc8108628bb7e8f87823b89fcaf8c1b89c96910f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:","2020-07-17T04:01:00Z","0.754","0.575","4","-8.393","0","0.0682","0.045","0.00131","0.276","0.491","86.009","4"
"spotify:track:27GmP9AWRs744SzKcpJsTZ","Jumpman","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Drake, Future","spotify:album:1ozpmkWcCHwsQ4QTnxOOdT","What A Time To Be Alive","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Drake, Future","2015-09-20","https://i.scdn.co/image/ab67616d0000b273d6adfbd3f091d6f2b9af6507","1","9","205879","https://p.scdn.co/mp3-preview/fb4f012ac960df5cf3ee1c6717ceb1e53a466996?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:","2020-07-17T04:01:00Z","0.852","0.553","1","-7.286","1","0.187","0.0559","0","0.332","0.656","142.079","4"
"spotify:track:14Rcq31SafFBHNEwXrtR2B","Hold On, We're Going Home","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:4HzKw8XcD0piJmDrrPRCYk","Drake, Majid Jordan","spotify:album:2gXTTQ713nCELgPOS0qWyt","Nothing Was The Same (Deluxe)","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2013-01-01","https://i.scdn.co/image/ab67616d0000b27367ffd8d6bbf399430ba9c044","1","8","227880","","false","0","spotify:user:","2020-07-17T04:01:00Z","0.776","0.413","6","-7.438","0","0.0952","0.00415","0.0000268","0.0724","0.287","100.003","4"
"spotify:track:6n3HGiq4v35D6eFOSwqYuo","Teenage Fever","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1lXY618HWkwYKJWBRYR4MK","More Life","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2017-03-18","https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700","1","14","219692","https://p.scdn.co/mp3-preview/c953c4f74d012e4e3455aa77cf97c055a31d19e9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","spotify:user:","2020-07-17T04:01:00Z","0.766","0.283","8","-10.33","0","0.0846","0.111","0.0172","0.115","0.144","97.04","4"
