"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3aw9iWUQ3VrPQltgwvN9Xu","Family Affair","spotify:artist:1XkoF8ryArs86LZvFOkbyr","Mary J. Blige","spotify:album:5QJmKwPveBV4IwLlo4OcG4","No More Drama","spotify:artist:1XkoF8ryArs86LZvFOkbyr","Mary J. Blige","2001-01-01","https://i.scdn.co/image/ab67616d0000b273096a7fc9668305db9d3175fc","1","2","265866","https://p.scdn.co/mp3-preview/ee28c2d957997eff25798e97793deecbb79b568a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:5s5t0OFg9lIlBFaCI14K1i","She Will Be Loved","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:7gGcnUEEQgIMV2JRwVQbrF","Songs About Jane","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2002-06-25","https://i.scdn.co/image/ab67616d0000b273fb869ab46e93e7069c67134f","1","4","257133","","false","0","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:0vg4WnUWvze6pBOJDTq99k","You're Beautiful","spotify:artist:7KMqksf0UMdyA0UCf4R3ux","James Blunt","spotify:album:1ekaxA9Q5GzUPCepx4wzMF","Back to Bedlam","spotify:artist:7KMqksf0UMdyA0UCf4R3ux","James Blunt","2005-08-08","https://i.scdn.co/image/ab67616d0000b273105f043a4f470cf58cc01ccf","1","2","209493","https://p.scdn.co/mp3-preview/1e9fe4947493daddd30a02f8e7b920eb413ce065?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:619bJQ9uDi8dnXzLebFI7y","When Love Takes Over (feat. Kelly Rowland)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","spotify:album:27255AeNTU1KuApN9KjmjM","When Love Takes Over","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2009-04-17","https://i.scdn.co/image/ab67616d0000b2730b64786c7e075b16d4c8c646","1","1","189000","https://p.scdn.co/mp3-preview/f9877d70c57311941dca4782fbaa41efce514c67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V","Hips Don't Lie (feat. Wyclef Jean)","spotify:artist:0EmeFodog0BfCgMzAIvKQp, spotify:artist:7aBzpmFXB4WWpPl2F7RjBe","Shakira, Wyclef Jean","spotify:album:5ppnlEoj4HdRRdRihnY3jU","Oral Fixation, Vol. 2 (Expanded Edition)","spotify:artist:0EmeFodog0BfCgMzAIvKQp","Shakira","2005-11-28","https://i.scdn.co/image/ab67616d0000b27327ddd747545c0d0cfe7595fa","1","3","218093","https://p.scdn.co/mp3-preview/9743b7c0f0f21da20168327a5c3ceb7f81a1df29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:2PkeVPcL32LA96cK5ySC3c","Yeah!","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","Usher, Lil Jon, Ludacris","spotify:album:021pXDAIuTIb2ADbS6VjbC","Yeah!","spotify:artist:23zg3TcAtWQy7J6upgbUnj","Usher","2004-02-09","https://i.scdn.co/image/ab67616d0000b27332dd19e4ec1ec8e56a84c57e","1","1","250066","","false","0","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:4TsmezEQVSZNNPv5RJ65Ov","Pon de Replay","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:4FyGpObwABjn0o8Tdp7AZz","Music Of The Sun","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2005-08-29","https://i.scdn.co/image/ab67616d0000b273b21609e1a2d7c1b7ba8efae2","1","1","246960","https://p.scdn.co/mp3-preview/2fe872fe20ce8beb348d84183024a3a0e623190a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:3N4DI1vuTSX1tz7fa2NQZw","Rehab","spotify:artist:6Q192DXotxtaysaqNPy5yR","Amy Winehouse","spotify:album:0E4xv5gPjykrwBgBZzI8XG","Back To Black (Deluxe Edition)","spotify:artist:6Q192DXotxtaysaqNPy5yR","Amy Winehouse","2006","https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1","1","1","214946","https://p.scdn.co/mp3-preview/ae9e9e5d16884e879f8e2890ae3e749bc2d4aae9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:4JehYebiI9JE8sR8MisGVb","Halo","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:39P7VD7qlg3Z0ltq60eHp7","I AM...SASHA FIERCE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2008-11-17","https://i.scdn.co/image/ab67616d0000b273801c4d205accdba0a468a10b","1","2","261640","https://p.scdn.co/mp3-preview/3c97985f3736fab6d4abcd2067f346a9b30955fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:5vQXxfGn1bjv5WESrYVVpw","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis","spotify:album:6sjW1TdbydfGkxADcsHXoU","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2008-01-01","https://i.scdn.co/image/ab67616d0000b2731aa676c7c93267e7f4679b7b","1","1","244440","https://p.scdn.co/mp3-preview/6403eaaaeec9e2f9dc1970a9e03945de1f55d181?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:10ViidwjGLCfVtGPfdcszR","Home","spotify:artist:7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","spotify:album:3yfisavFdGTrjFf9Ecpbio","Up From Below","spotify:artist:7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","2009-07-13","https://i.scdn.co/image/ab67616d0000b273905758fa52845a4b2dc6ffe3","1","6","306320","","false","3","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0","1","5","266773","https://p.scdn.co/mp3-preview/26ad91af2f13c2b7729cbc70856ce43f4c790a7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:1myEOhXztRxUVfaAEQiKkU","Cosmic Love","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:1rLLyY5p6HXNl2lKzINWp5","Lungs (Deluxe Version)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d","1","9","255906","https://p.scdn.co/mp3-preview/3e555b81bf84a436b1fd4d1ccf52798edee6bd70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:1SKPmfSYaPsETbRHaiA18G","Somewhere Only We Know","spotify:artist:53A0W3U0s8diEn9RhXQhVz","Keane","spotify:album:0MlTOiC5ZYKFGeZ8h3D4rd","Hopes And Fears","spotify:artist:53A0W3U0s8diEn9RhXQhVz","Keane","2004-05-10","https://i.scdn.co/image/ab67616d0000b2737d6cd95a046a3c0dacbc7d33","1","1","237146","https://p.scdn.co/mp3-preview/368d8aeca58fe638f73b7f743efe6e02ae349bc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:3DWOTqMQGp5q75fnVsWwaN","Hey There Delilah - Bonus Track","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","Plain White T's","spotify:album:6MEfS6zFbBYZalRsumJsvs","Every Second Counts","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","Plain White T's","2006","https://i.scdn.co/image/ab67616d0000b273596eb3b2abe78e33702b657f","1","13","233280","https://p.scdn.co/mp3-preview/96e60e8455f119c54af5026f2d2622512b71480e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:4bCIt1XfHHGWo1UHKM11y9","Breakeven","spotify:artist:3AQRLZ9PuTAozP28Skbq8V","The Script","spotify:album:7Lv2e6qweacdWjqrQy7UNo","The Script","spotify:artist:3AQRLZ9PuTAozP28Skbq8V","The Script","2008-09-08","https://i.scdn.co/image/ab67616d0000b2731f198b15f686a4781072acb8","1","5","261426","","false","0","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:6IIjmqaDdO6vdEBasXsCve","Sweet Disposition","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","spotify:album:0LiajiUXzLDuQ21geqi4v4","Sweet Disposition","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","2009-08-02","https://i.scdn.co/image/ab67616d0000b2739d20b50e52fc0972dafdc39e","1","1","234680","","false","0","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:5dKBaysNJtfpyNTRa5lqDb","A-Punk","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","spotify:album:5oXBmKbyJeQftWMo87cQ9F","Vampire Weekend","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","2008-01-27","https://i.scdn.co/image/ab67616d0000b27301e2ebfbf4f8147621c8a866","1","3","137760","","false","8","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:0eGsygTp906u18L0Oimnem","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:6TJmQnO44YE5BtTxH8pop1","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004-06-15","https://i.scdn.co/image/ab67616d0000b273797febe9f06dd027b67a3e64","1","2","222075","","false","1","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:6ajyEEzWZbw8ycDcJAN099","Cupid's Chokehold / Breakfast in America - Radio Mix","spotify:artist:4IJczjB0fJ04gs4uvP0Fli","Gym Class Heroes","spotify:album:2BUMWHctjCsVidogtJxfDK","Cupid's Chokehold / Breakfast in America","spotify:artist:4IJczjB0fJ04gs4uvP0Fli","Gym Class Heroes","2007-01-02","https://i.scdn.co/image/ab67616d0000b273ee348848ecc62cd3248831ca","1","1","237173","https://p.scdn.co/mp3-preview/88cbe3db22a02daa4f32fb3492fa641098c7b912?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:4IoYz8XqqdowINzfRrFnhi","You Found Me","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","spotify:album:3ibdlhMmbFPMYoWvwHCzI3","The Fray","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","2009-02-02","https://i.scdn.co/image/ab67616d0000b27392b32435efed601fc8f1045d","1","3","241853","https://p.scdn.co/mp3-preview/4d14eda64e96e13b4911ed8fe8a7f6610a8449ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:3FtYbEfBqAlGO46NUDQSAt","Electric Feel","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","4","229640","https://p.scdn.co/mp3-preview/c65924aef41fa1005e750ebf700ba4764ae531bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:456WNXWhDwYOSf5SpTuqxd","Dog Days Are Over","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:1rLLyY5p6HXNl2lKzINWp5","Lungs (Deluxe Version)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d","1","1","252818","https://p.scdn.co/mp3-preview/6b543fe1ede50100122ede01bcf838bd65d4ee5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:3gNGi2iUGHXGpBQHce6Nua","When You Were Young","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:62zNw66LWCYoYSPGkJ2qCm","Sam's Town","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2006-10-03","https://i.scdn.co/image/ab67616d0000b273a1fa9bedf4794b53c1d2f259","1","3","220426","","false","0","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:3DamFFqW32WihKkTVlwTYQ","Fireflies","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:3vf65wfk1EEjVhy6BjENsS","Ocean Eyes","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2009-01-01","https://i.scdn.co/image/ab67616d0000b273785d4e702802da500fc78b32","1","9","228346","https://p.scdn.co/mp3-preview/88584b6828b463293b839a6bef802f6217692d35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:2f14Vwn28w1soYnolluueL","Young Folks","spotify:artist:6u11Qbko2N2hP4lTBYjX86","Peter Bjorn and John","spotify:album:3IwEf97aLsY6O517SFJiLa","Electronic Beats Collectables Volume 1 Digital","spotify:artist:01WRXWwb8qCeMyLOPQ3Otc","Electronic Beats","2007-10-19","https://i.scdn.co/image/ab67616d0000b273cc543efc9a8e1eaf9a0ba832","1","11","278719","","false","0","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:03JPFQvZRnHHysSZrSFmKY","Inside In / Inside Out","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2006-01-01","https://i.scdn.co/image/ab67616d0000b27363a28c5ecb7b13e9b329fe47","1","9","203506","https://p.scdn.co/mp3-preview/32fed88eeb9ec47766d4307d29d19d8d5958ad70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:5hnyJvgoWiQUYZttV4wXy6","Chasing Cars","spotify:artist:3rIZMv9rysU7JkLzEaC5Jp","Snow Patrol","spotify:album:3k7bXPw2u0C0SBKPMsgMS3","Eyes Open","spotify:artist:3rIZMv9rysU7JkLzEaC5Jp","Snow Patrol","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735da2756220da9b6f17924f8f","1","3","267960","https://p.scdn.co/mp3-preview/f6718903c52c507068a15158552eab1f4d8da28f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:5r5cp9IpziiIsR6b93vcnQ","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","spotify:album:5B6XfyHHYawyLkEvNvhSPh","Walking On A Dream (10th Anniversary Edition)","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","2008-10-03","https://i.scdn.co/image/ab67616d0000b273f3aa0e6ca22a382007f61e4d","1","2","198440","https://p.scdn.co/mp3-preview/8701b4cfc0ff5013dc7ed3f7701d9d6399f26a99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","spotify:album:1IM3GwptCGYjRkzCBolyFK","How To Save A Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","2005-09-13","https://i.scdn.co/image/ab67616d0000b27359b8b957f164ce660919f1f4","1","3","262533","https://p.scdn.co/mp3-preview/c808e35b385571cbda7ccf893c9c568b83a0390d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:1jJci4qxiYcOHhQR247rEU","Kids","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","5","302840","https://p.scdn.co/mp3-preview/6a749da38e969dca948f36139f976b594db38f5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:2TfSHkHiFO4gRztVIkggkE","Sugar, We're Goin Down","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:5nkUSlIhtoJZMOUlB0sNCp","From Under The Cork Tree","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2005-05-03","https://i.scdn.co/image/ab67616d0000b27371565eda831124be86c603d5","1","4","229093","https://p.scdn.co/mp3-preview/95a3a58e7d6dbd9f48cae8506584bcc4d1cfa558?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:5gb9UJkh8TfrNMRYOJNbew","Gives You Hell","spotify:artist:3vAaWhdBR38Q02ohXqaNHT","The All-American Rejects","spotify:album:5doKZJ05r4UbAp9rmpDRDD","When The World Comes Down","spotify:artist:3vAaWhdBR38Q02ohXqaNHT","The All-American Rejects","2008-01-01","https://i.scdn.co/image/ab67616d0000b2733ebbaf69ee21176cc04c9182","1","4","213106","https://p.scdn.co/mp3-preview/9bd50e7ce7596964a4025574ecca851bb480c88c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:2SDx0PooHZI1SQKR0y44bs","Grace Kelly","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:6oIaXBTIZ2Q9cJKBgrZ2Ox","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2006-01-01","https://i.scdn.co/image/ab67616d0000b2733408a925e0bcb7940f864a0e","1","1","187733","https://p.scdn.co/mp3-preview/9a804a9d2f5b4fd4acee264e35ff8f557ea485f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:2iXdwVdzA0KrI2Q0iZNJbX","Better Together","spotify:artist:3GBPw9NK25X1Wt2OUvOwY3","Jack Johnson","spotify:album:2B9q4KPjOEYu885Keo9dfX","In Between Dreams","spotify:artist:3GBPw9NK25X1Wt2OUvOwY3","Jack Johnson","2005-01-01","https://i.scdn.co/image/ab67616d0000b273628dba01c669d89586967dc5","1","1","207680","https://p.scdn.co/mp3-preview/de5b109326667c750b6b291932f84dd5ca182c35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:1AdYZ6X00nXmO613Y7GJOl","I Miss You","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","spotify:album:4hBTxv4QRPePXCFcEI7Vjp","blink-182","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","2003-11-01","https://i.scdn.co/image/ab67616d0000b2730538b48c180256e0bdd8363f","1","3","227250","https://p.scdn.co/mp3-preview/1c736c39b560f1ad7a6c1358ee61758bbf92a078?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:7w87IxuO7BDcJ3YUqCyMTT","Pumped Up Kicks","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","spotify:album:7Kmmw7Z5D2UD5MVwdm10sT","Torches","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","2011-05-23","https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5","1","2","239600","https://p.scdn.co/mp3-preview/db83e69f4ef8a49f5b77e367f7031cc3bcc41b1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","spotify:user:","2021-04-28T06:53:18Z"
"spotify:track:7LVHVU3tWfcxj5aiPFEW4Q","Fix You","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:4E7bV0pzG0LciBSWTszra6","X&Y","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2005-06-07","https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651","1","4","295533","https://p.scdn.co/mp3-preview/46470abd1664c6f34efc0f07e0c2f1129616f28f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2021-04-28T06:53:18Z"
