"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:01u6AEzGbGbQyYVdxajxqk","Don't Be Cruel","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","spotify:album:0C3t1htEDTFKcg7F2rNbek","Elvis' Golden Records","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","1958-03-21","https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76","1","8","122893","https://p.scdn.co/mp3-preview/7a3c50df53ab91b8664abf39de5fea813e55c3b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:3aEJMh1cXKEjgh52claxQp","I've Got You Under My Skin - Remastered 1998","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:4kca7vXd1Wo5GE2DMafvMc","Songs For Swingin' Lovers! (Remastered)","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1956-03","https://i.scdn.co/image/ab67616d0000b273b9ea1c69fe9efbdc2df85a95","1","9","223760","https://p.scdn.co/mp3-preview/225d71ffaecd12bc539a51cd167b2d257f7a854f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:307XEC1IUwUs9ojlEFwH7f","Smoke Gets In Your Eyes","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:48VpGQRP9z2Nhw2iq1uyaN","The Best Of The Platters","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1995-01-01","https://i.scdn.co/image/ab67616d0000b2738f596fd18c96d6f32513d854","1","1","157293","","false","0","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:5yQ9iMZXGcr5rlO4hoLsP4","What'd I Say, Pt. 1 & 2","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","spotify:album:4tfWxufmH725XmTcQFAuXn","What'd I Say","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","1959","https://i.scdn.co/image/ab67616d0000b2731990f67950270de15b709d99","1","1","307053","https://p.scdn.co/mp3-preview/f1ba866a9dae60ca159fec52aac4ad36bce32d57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:3vFVS2WYHDG4KkWCNecvpn","Dream A Little Dream Of Me","spotify:artist:5V0MlUE1Bft0mbLlND7FJz, spotify:artist:19eLuQmk9aCobbVDHc6eek","Ella Fitzgerald, Louis Armstrong","spotify:album:5PwtIbLxUKAgPU05eqT6ja","Ella & Friends","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","1996-06-04","https://i.scdn.co/image/ab67616d0000b273bf2c87b8c8191a711796cc61","1","2","185066","","false","0","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:50RwvvEKX5Q7AZt8FTAwIF","That'll Be The Day","spotify:artist:3wYyutjgII8LJVVOLrGI0D","Buddy Holly","spotify:album:0KHc3cD7pAOAieo9lPWXkY","That'll Be The Day","spotify:artist:3wYyutjgII8LJVVOLrGI0D","Buddy Holly","1958-06-01","https://i.scdn.co/image/ab67616d0000b273085751ccca901e9bbc25a816","1","7","150133","https://p.scdn.co/mp3-preview/a17d4469b67085435d48c255a8e553ad5ab34925?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:0QGwOFQChzflLAmPq5NwKo","A Teenager In Love","spotify:artist:2loYllWFfoWpoxC5YrJKc4","Dion & The Belmonts","spotify:album:6z1hD32vUCvJZVjVZMv7el","Presenting Dion And The Belmonts","spotify:artist:2loYllWFfoWpoxC5YrJKc4","Dion & The Belmonts","1959-01-01","https://i.scdn.co/image/ab67616d0000b2737a609132064a415169a915cc","1","7","158253","https://p.scdn.co/mp3-preview/1c65f01d5ce88944a249b4b4338af9f1a51a4c16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:6bnFjTW3EnMG4BwreDnSHK","Mr. Blue","spotify:artist:673J686eeEXMYJorgQ70lX","The Fleetwoods","spotify:album:53Z6bXyBJ7tlRtMettF6Uq","Come Softly To Me: The Very Best Of The Fleetwoods","spotify:artist:673J686eeEXMYJorgQ70lX","The Fleetwoods","1993-01-01","https://i.scdn.co/image/ab67616d0000b27337558b80ccddb88af1817ccd","1","4","145133","https://p.scdn.co/mp3-preview/c5b0e056b84e34dd0a48ee14717c98eb69a05c74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:4tmy6FB76bR5eLmx0zO1mn","Pennies From Heaven","spotify:artist:52lBOxCxbJg0ttXEW9CQpW, spotify:artist:70njzKgLbLbWkCPhKEu2oV","Louis Prima, Sam Butera & The Witnesses","spotify:album:5RDBugAE4cU2vbLZj0dvmf","The Call Of The Wildest (Expanded Edition)","spotify:artist:52lBOxCxbJg0ttXEW9CQpW, spotify:artist:0vQqxnQk1G32RtjSAFq3z1, spotify:artist:70njzKgLbLbWkCPhKEu2oV","Louis Prima, Keely Smith, Sam Butera & The Witnesses","1957","https://i.scdn.co/image/ab67616d0000b273a06458b080f396941f2a2af9","1","7","141666","https://p.scdn.co/mp3-preview/924c513f75a73eb3cc51c6c99bfa959a8a4707c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2021-04-28T06:38:23Z"
"spotify:track:56XoFI6v7kbGNdM8ALYWof","Lonesome Town - 1990 Digital Remaster","spotify:artist:73sSFVlM6pkweLXE8qw1OS","Ricky Nelson","spotify:album:5R27t83T8Jhltww09lriMo","The Legendary Masters Series (Volume 1)","spotify:artist:73sSFVlM6pkweLXE8qw1OS","Ricky Nelson","1990-01-01","https://i.scdn.co/image/ab67616d0000b2735322e1648cc3506403c6cfa1","1","8","135840","https://p.scdn.co/mp3-preview/4440aa66388c8048a365608fe624a30ff5b735ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2021-04-28T06:38:23Z"
