"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:45yEy5WJywhJ3sDI28ajTm","Here Comes The Sun - Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:2Pqkn9Dq2DFtdfkKAeqgMd","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273f7c34e39bb746d7f41bc5519","1","7","185733","","false","0","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:0GVxSbigOiKlGfI30Uw00X","When a Man Loves a Woman","spotify:artist:3rRmDmzPcAFwcUDvG5gBqO","Percy Sledge","spotify:album:5I9u0kRfmLLzTHneycOwFA","When a Man Loves a Woman","spotify:artist:3rRmDmzPcAFwcUDvG5gBqO","Percy Sledge","2018-05-05","https://i.scdn.co/image/ab67616d0000b2737bd2e6b7e7b86cd8ef7a270f","1","1","175693","https://p.scdn.co/mp3-preview/5719ccddd30ada06994daaa00444a4d1bb3ce404?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:5FKkbyGm42hw1y08l2knlO","(I Can't Get No) Satisfaction - Mono Version","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:0aqZJlugIkTUWW1sa4BANp","Hot Rocks (1964-1971)","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1971-12-20","https://i.scdn.co/image/ab67616d0000b273b11b3fc3c89477a7dd473bd7","1","4","222746","https://p.scdn.co/mp3-preview/917bf155266b702ff2cdf1956b62a9d156aae336?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:2g2GkH3vZHk4lWzBjgQ6nY","(What A) Wonderful World","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","spotify:album:3Seie4YIVLWtPw2hQrouNY","The Man Who Invented Soul","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","2000-09-26","https://i.scdn.co/image/ab67616d0000b273cdea00c6905f588e1f72ccad","1","21","125440","https://p.scdn.co/mp3-preview/8aaf03977a5caa7ab2995e71e07b735a77c9a8de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:3yrSvpt2l1xhsV9Em88Pul","Brown Eyed Girl","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","spotify:album:7dsWupQRlFuhG8FGiQAUjC","Blowin' Your Mind!","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","1967-09","https://i.scdn.co/image/ab67616d0000b2733f29a976eea00141514ab936","1","1","183306","https://p.scdn.co/mp3-preview/8b63694ec108a4bb5e7d00ff63824be6357ef730?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:0FD8KMG4pHp0O9clTpChjp","I Say a Little Prayer","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","spotify:album:3IadQMKTsvI9DhuE4UexFz","Respect - The Very Best of","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","2017-03-25","https://i.scdn.co/image/ab67616d0000b273ac957541f5d604fb94a06347","1","5","216773","https://p.scdn.co/mp3-preview/358ec6aa9624b1f82788f6bf770721d2b57c8733?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:2KQM3kDM0zMBC9iynePBbS","Stand By Me","spotify:artist:3plJVWt88EqjvtuB4ZDRV3","Ben E. King","spotify:album:7iAaAOoEeEkI0KB0hqLwU0","Stand By Me","spotify:artist:3plJVWt88EqjvtuB4ZDRV3","Ben E. King","2016-11-25","https://i.scdn.co/image/ab67616d0000b273557c73b5b1085c827171ec48","1","1","174253","https://p.scdn.co/mp3-preview/5b41d37a0719e6dc823762ca10c4d3b5e768927a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:2H3ZUSE54pST4ubRd5FzFR","Ain't No Mountain High Enough","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","spotify:album:6sbZYwwQB15bt5TgkPFAdb","United","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","1967-08-29","https://i.scdn.co/image/ab67616d0000b273d18984031081035d44534473","1","1","151666","","false","0","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b","Surfin' U.S.A. - Remastered 2001","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:6u5tGarzvESDsQiIpC4SlI","Surfin' USA (Remastered)","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","1963-03-25","https://i.scdn.co/image/ab67616d0000b2737cb33b8fab5302942e6a78fb","1","1","149373","https://p.scdn.co/mp3-preview/5a8fe0d7b177c82a1ee23e396062d931902a0e23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:","2021-05-20T22:02:00Z"
"spotify:track:4Y4Gd3ty8uut6Qw43c7yJc","(Sittin' On) the Dock of the Bay","spotify:artist:60df5JBRRPcnSpsIMxxwQm","Otis Redding","spotify:album:0kSkzG0sfuG4lRuFF5jWVr","The Dock of the Bay","spotify:artist:60df5JBRRPcnSpsIMxxwQm","Otis Redding","1968-02-23","https://i.scdn.co/image/ab67616d0000b273b050a4bba4ad96ea639d75b3","1","1","166826","https://p.scdn.co/mp3-preview/75e9b700ab745e903d57abd457b5985c05128d74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2021-05-20T22:02:00Z"
