,Word,Count
328,child,4
1743,shimmer,4
179,blood,4
175,block,4
1160,losin,4
972,imagine,4
1164,lotta,4
349,city,4
1716,sense,4
1787,singin,4
1043,k***,4
214,bread,4
693,feed,4
1895,starin,4
1897,stars,4
250,burn,4
265,calling,4
1872,spent,4
695,feelin,4
1858,southside,4
289,cash,4
1069,lalalala,4
1850,soul,4
230,broke,4
717,findin,4
228,brings,4
688,father,4
965,hurts,4
702,fell,4
136,beef,4
1701,second,4
132,beach,4
377,comin,4
947,hood,4
1242,minute,4
148,best,4
1690,screamin,4
1894,stare,4
1674,saved,4
153,bigger,4
1641,rollin,4
1205,matter,4
610,eighty,4
766,free,4
620,empastillao,3
1390,paper,3
1383,pain,3
690,fazed,3
1376,overnight,3
1070,lalalalala,3
1388,pants,3
1098,lesbian,3
1072,lame,3
1307,needs,3
1404,passin,3
592,d****,3
704,feminine,3
1092,leaves,3
611,electric,3
851,groove,3
698,feels,3
614,embarrassing,3
517,died,3
1244,mirror,3
883,happens,3
1273,mother,3
519,difference,3
872,hahahaha,3
1084,layin,3
588,drove,3
882,happened,3
1237,million,3
1365,open,3
622,endin,3
741,floss,3
1185,maldita,3
966,hypnotized,3
638,escape,3
790,game,3
771,friend,3
1229,metro,3
998,isnt,3
1009,jesus,3
1332,nota,3
744,flyin,3
1300,natty,3
901,healthy,3
555,doors,3
1235,milky,3
740,floor,3
683,fantasizin,3
666,fafarru,3
1128,liquor,3
953,hoping,3
887,hardened,3
1019,jokin,3
1041,kiddin,3
823,goin,3
1358,older,3
582,drizzy,3
585,droppin,3
542,dixieland,3
1049,king,3
1372,oreo,3
1056,knees,3
946,honey,3
1165,loud,3
846,green,3
358,clean,3
1695,search,3
362,cleavage,3
361,clearly,3
2056,threw,3
1697,seaside,3
163,black,3
1698,season,3
167,bleed,3
1745,shining,3
353,clangin,3
1714,send,3
2035,therapeutic,3
1731,shake,3
340,chop,3
1732,shallow,3
1733,shame,3
155,bird,3
2063,tiempo,3
149,betrayed,3
147,benz,3
2150,unaffected,3
2141,twice,3
406,cool,3
405,conversations,3
1625,rise,3
1632,rocka,3
1633,rocket,3
124,barely,3
1637,rola,3
129,bathroom,3
1656,rumors,3
1657,runnin,3
143,belong,3
2072,tired,3
1671,sauce,3
2025,tesla,3
1749,s****,3
408,copped,3
253,bury,3
1969,swearin,3
1854,sounds,3
1860,space,3
1953,sugarboo,3
1886,squeaksqueakin,3
1891,stand,3
1944,suburbs,3
1904,steak,3
1751,shiver,3
1909,stick,3
1938,stuck,3
1916,stood,3
1920,straight,3
1922,stranger,3
225,bright,3
1927,straws,3
1840,solo,3
1833,social,3
1979,swimmin,3
202,bourbon,3
2017,tenerte,3
1764,shouldve,3
1768,showin,3
1769,shows,3
1772,shut,3
1781,signs,3
1782,sigo,3
1990,taking,3
305,chains,3
1788,singing,3
196,boss,3
1789,single,3
1794,sisters,3
1428,petty,3
201,bougie,3
2152,uncle,3
1647,rootin,3
231,broken,3
2283,word,3
1454,planes,3
1497,pretty,3
1572,reasons,3
2200,voice,3
2284,words,3
438,crowds,3
77,arms,3
1569,reality,3
27,ahahah,3
73,arcoris,3
70,applebees,3
1532,puttin,3
1451,places,3
1478,popped,3
37,alabamajamma,3
2212,walkin,3
2255,whoawhoa,3
2254,whoaoh,3
2249,whip,3
1486,pour,3
1487,pray,3
462,dancin,3
2247,wheezy,3
1502,principle,3
1587,relaxed,3
1496,pretend,3
1593,renegading,3
496,delight,3
1618,rico,3
1611,reused,3
492,degrees,3
414,cost,3
2305,wunna,3
1435,picture,3
2290,worse,3
502,desacatao,3
419,counters,3
1042,kids,2
1934,stronger,2
2264,windows,2
1015,joel,2
2312,year,2
848,grey,2
1939,stuff,2
1992,talked,2
1014,jodiendo,2
1994,talking,2
2001,team,2
2244,west,2
2298,wrist,2
1988,taffy,2
1940,s*****,2
1018,jokes,2
876,handle,2
1044,killers,2
2289,worryin,2
1973,sweet,2
1047,kind,2
1030,juniors,2
1048,kinda,2
1948,sudden,2
