"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1KkECr5i5B5k4ul9ajFADL","Battle Born","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:7cuwIlQNnnwVlfosv2Zm6U","Battle Born (Deluxe Edition)","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2012-09-17","https://i.scdn.co/image/ab67616d0000b273c1ae4419571d4e52484ce338","1","12","313453","","false","0","spotify:user:avl7949","2021-08-31T22:39:14Z"
"spotify:track:1nhtBtm5sRAjhBvDrsKGDn","Marching Bands","spotify:artist:2UQ6mFkiLYy5VHRJnajQYT, spotify:artist:5P2rwRBgIN450RaJxdjYdA","Neon Dreams, Kardinal Offishall","spotify:album:6u3f8qSzF5HacJwaGN3ydt","Marching Bands","spotify:artist:2UQ6mFkiLYy5VHRJnajQYT","Neon Dreams","2016-04-29","https://i.scdn.co/image/ab67616d0000b2733f50cd1643543ebfe6026a46","1","1","196571","https://p.scdn.co/mp3-preview/06408506fae57f41564be0e6d27fa68a30796ae1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:avl7949","2021-08-31T22:39:18Z"
"spotify:track:747bG0iLU0mbhFwRXbZOKu","Nightingale","spotify:artist:5hPR4Atp3QY2ztiAcz1inl","Morningsiders","spotify:album:512zhGMqIgPmeGXb98V3zi","Nightingale","spotify:artist:5hPR4Atp3QY2ztiAcz1inl","Morningsiders","2021-09-03","https://i.scdn.co/image/ab67616d0000b2737159275c2c7ccf2a8cf9a0cb","1","1","235380","https://p.scdn.co/mp3-preview/a7ae4ba58f92dffdc1d9b11929dda73b9e7b24fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:avl7949","2021-09-03T23:35:21Z"
"spotify:track:6tvDAC8atHIjyLgvOEK1fK","Monday","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6DdU5f52hpc2gfeLjK374Y","Mercury - Act 1","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2021-09-03","https://i.scdn.co/image/ab67616d0000b2738b0da998550d749d2e0b61d9","1","4","187896","https://p.scdn.co/mp3-preview/7e17f378b9eb39c06aa4a598334e5fb6202bcfb8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:avl7949","2021-09-03T23:35:24Z"
"spotify:track:7Hz58udd6VQPRcH4R9qVVN","Sideways","spotify:artist:5lAerll3SRz5ATfhZfhGT6, spotify:artist:6AGUQK1EWK6nvN4pLIDQDQ","Modern Original, The Mowgli's","spotify:album:5opT3um71BJ71xVn1Gojbh","Modern Original","spotify:artist:5lAerll3SRz5ATfhZfhGT6","Modern Original","2021-08-20","https://i.scdn.co/image/ab67616d0000b273529325a12272f91a84638112","1","4","172375","https://p.scdn.co/mp3-preview/cacda51e78f00762f922a9ae5a12b3fda102afce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:avl7949","2021-09-03T23:35:29Z"
"spotify:track:6z39NC4VSSweBHFg9kAoja","#1","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6DdU5f52hpc2gfeLjK374Y","Mercury - Act 1","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2021-09-03","https://i.scdn.co/image/ab67616d0000b2738b0da998550d749d2e0b61d9","1","5","205040","https://p.scdn.co/mp3-preview/ec1adfd0566c9262a4f7ce3b49d3fff3d73108a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:avl7949","2021-09-03T23:44:18Z"
"spotify:track:67TV6fBPxChl75QC3qXOl7","Accidentally in Love","spotify:artist:3JQMhGLU0F6IeOzlDZiUNW","KiD RAiN","spotify:album:7fTVf0Xq5xsirTgkDdESce","Accidentally in Love","spotify:artist:3JQMhGLU0F6IeOzlDZiUNW","KiD RAiN","2021-03-19","https://i.scdn.co/image/ab67616d0000b273a1cd79d624aa4341120e5515","1","1","128933","https://p.scdn.co/mp3-preview/e351b5cd6de64f8c5afc655bb2be9ac15fa1a912?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:avl7949","2021-09-03T23:44:20Z"
"spotify:track:18q3MaOdhbwYq4j2RswgN7","What Were You Hoping to Find?","spotify:artist:5YA1c6yVkPnflTLMfOgjzc","Vistas","spotify:album:3Q5bDksRVfWytZluEMWajp","What Were You Hoping to Find?","spotify:artist:5YA1c6yVkPnflTLMfOgjzc","Vistas","2021-08-20","https://i.scdn.co/image/ab67616d0000b273a9c937a4ccbfc107f8b42fb7","1","1","225613","https://p.scdn.co/mp3-preview/38b89ca4633095a0e373c6077cc662719b356e5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:avl7949","2021-09-03T23:44:23Z"
"spotify:track:4mEHSO98g9d4DLW4VFJkzE","I Want My Life Back Now","spotify:artist:458aS6ALc3QkzwfR5USt34","The Wrecks","spotify:album:6UkCMOg8r7GXhu6EHRM5kr","I Want My Life Back Now","spotify:artist:458aS6ALc3QkzwfR5USt34","The Wrecks","2021-03-12","https://i.scdn.co/image/ab67616d0000b27390ec852b879e3f6b8ea907cc","1","1","188706","https://p.scdn.co/mp3-preview/761dba7b86a02679a25713c7e065d1b7a735e69c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:avl7949","2021-09-08T17:12:33Z"
"spotify:track:1Lfr9YBRpeSwCS14kBoTAg","Moon in the Morning","spotify:artist:54tv11ndFfiqXiR03PwdlB","Adam Melchor","spotify:album:1YRyAjsB08BYLAGB4oLPV2","Melchor Lullaby Hotline Vol. 1","spotify:artist:54tv11ndFfiqXiR03PwdlB","Adam Melchor","2021-03-19","https://i.scdn.co/image/ab67616d0000b273667b8d322e53ea20b312e9c4","1","2","194266","https://p.scdn.co/mp3-preview/5c05a210cff7486290b57edf7dd6d916f245db23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:avl7949","2021-09-08T17:12:35Z"
"spotify:track:6DwRQI2K03MTNULcasnhUh","Space Cadet","spotify:artist:6hQS54VPpxunuwR0W7usuo","The Technicolors","spotify:album:3UGEWESDelTk6ppL1SMYM2","Sweat","spotify:artist:6hQS54VPpxunuwR0W7usuo","The Technicolors","2016-06-24","https://i.scdn.co/image/ab67616d0000b2736e91320d81d1ab1608f09c81","1","2","288835","https://p.scdn.co/mp3-preview/afcb33ca88c464186af59bfee267e8b03e90020a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:avl7949","2021-09-08T17:12:38Z"
"spotify:track:47UTPujdqpbtCVZFP1nHyv","good day","spotify:artist:3pg4cfNfPC0ehk912YtXe9","MacKenzie Bourg","spotify:album:3zIZisGULkL7UpawaLXdAf","good day","spotify:artist:3pg4cfNfPC0ehk912YtXe9","MacKenzie Bourg","2021-03-12","https://i.scdn.co/image/ab67616d0000b27365a38874d8a1997344b9e43e","1","1","151556","https://p.scdn.co/mp3-preview/9f03dc4a0d57fcd54bd89887b93bf6246928a7f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:avl7949","2021-09-08T17:12:40Z"
"spotify:track:1iXQOrgqbQ6egPnT4AZKon","Lost Boys Life","spotify:artist:1tMBaN8Tm6dj9i67jayVUW, spotify:artist:3nQ59hkeciYoR6RreQL4Rv","Computer Games, Darren Criss","spotify:album:1WHTaEuoxhvnGgsfnjy3ZX","Lost Boys Life","spotify:artist:1tMBaN8Tm6dj9i67jayVUW, spotify:artist:3nQ59hkeciYoR6RreQL4Rv","Computer Games, Darren Criss","2017-03-08","https://i.scdn.co/image/ab67616d0000b2734d01db787e17893622d269de","1","3","241773","https://p.scdn.co/mp3-preview/b52bfefa63d1d5a2481bb3a095e5c6d223a142d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:avl7949","2021-09-16T14:57:40Z"
"spotify:track:6cpq9nnTATCosyB9tBatpT","Wrong","spotify:artist:7xovAENFxmyEWhzbnHsB3Z","The Airborne Toxic Event","spotify:album:76MSEJEfN4litrqOLTeSRN","Dope Machines","spotify:artist:7xovAENFxmyEWhzbnHsB3Z","The Airborne Toxic Event","2015-02-20","https://i.scdn.co/image/ab67616d0000b273f566b1eefdc4936150669aab","1","1","255066","https://p.scdn.co/mp3-preview/831c7f35eae42a1f36ad871b4335a4543cdccad6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:avl7949","2021-09-16T14:57:44Z"
